Year,Deaths,Crashes, Miles traveled (millions), Motor vehicles,,
1981,49301,44000,1550271,62699
1982,43945,39092,1592481,56455
1983,42589,37976,1649106,55106
1984,44257,39631,1716768,57972
1985,43825,39196,1774762,58272
1986,46087,41090,1838240,60792
1987,46390,41438,1924327,61836
1988,47087,42130,2025586,62703
1989,45582,40741,2107040,60870
1990,44599,39836,2147501,59292
1991,41508,36937,2172214,54795
1992,39250,34942,2239828,52227
1993,40150,35780,2296585,53777
1994,40716,36254,2357588,54911
1995,41817,37241,2422775,56524
1996,42065,37494,2482202,57347
1997,42013,37324,2560373,57060
1998,41501,37107,2625367,56922
1999,41717,37140,2691335,56820